Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Mean Operative Temperature,Electricity:Facility [J](Hourly),DistrictCooling:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Total energy[J](Hourly)
1104642000.0,5.083333333,-3.141666667,95025.91667,1.8,237.0833333,0.0,0.0,96.99731471,-26.38870401,19.09863314,57316.11482,0.0,5193585.859,5250901.974
1104645600.0,4.883333333,-3.158333333,95018.91667,1.533333333,179.9166667,0.0,0.0,106.7786095,-16.00283378,19.07102622,57316.11482,0.0,5299177.474,5356493.589
1104649200.0,4.683333333,-3.55,95011.91667,0.883333333,293.5833333,0.0,0.0,116.6350753,-6.1395005,19.12563942,2549103.854,0.0,7653457.637,10202561.49
1104652800.0,4.891666667,-3.858333333,95004.91667,0.533333333,42.33333333,25.08333333,28.83333333,127.0997851,2.878589574,19.14423332,2045867.806,0.0,7435071.584,9480939.39
1104656400.0,5.566666667,-3.2,94997.91667,0.525,61.83333333,74.08333333,163.75,138.5813836,10.66682033,19.26833919,950509.4536,0.0,7416998.936,8367508.39
1104660000.0,6.425,-2.525,94990.91667,0.633333333,52.41666667,115.5833333,262.25,151.3248141,16.76838134,19.38403145,57316.11482,0.0,4285418.319,4342734.434
1104663600.0,7.5,-1.991666667,94983.33333,0.508333333,68.08333333,129.1666667,489.0833333,165.2858742,20.69769701,19.56530866,57316.11482,0.0,3741452.438,3798768.553
1104667200.0,8.291666667,-1.7,94975.91667,0.883333333,108.0833333,148.75,251.4166667,180.0173016,22.05762674,19.61367021,57316.11482,0.0,3415735.156,3473051.271
1104670800.0,8.208333333,-1.7,94975.33333,1.416666667,90.16666667,110.3333333,32.33333333,194.7477552,20.69141871,19.51846641,57316.11482,0.0,3563570.001,3620886.116
1104674400.0,7.883333333,-1.175,94979.33333,0.916666667,34.16666667,112.5,64.5,208.7063385,16.75652352,19.4905351,57316.11482,0.0,3681951.301,3739267.416
1104678000.0,7.625,-0.566666667,94983.33333,0.85,45.33333333,68.58333333,99.33333333,221.4467431,10.65046894,19.47039886,57316.11482,0.0,3781645.795,3838961.91
1104681600.0,7.15,-0.283333333,94987.33333,0.866666667,66.41666667,14.91666667,10.5,232.9256085,2.858871573,19.36900517,1266282.447,0.0,3425499.143,4691781.59
1104685200.0,6.783333333,0.325,94991.33333,0.816666667,57.25,0.0,0.0,243.3883811,-6.161602423,19.28955686,1363184.304,0.0,3547829.34,4911013.644
1104688800.0,6.466666667,1.808333333,94995.33333,0.491666667,57.41666667,0.0,0.0,253.2440002,-16.02650806,19.23323565,1617540.857,0.0,3430340.913,5047881.77
1104692400.0,6.3,3.066666667,94999.33333,0.141666667,123.8333333,0.0,0.0,263.025867,-26.41324452,19.25941033,3674037.099,0.0,3540669.116,7214706.215
1104696000.0,6.183333333,2.816666667,95003.33333,0.1,185.5,0.0,0.0,273.4683402,-37.01848897,19.24879347,3770938.955,0.0,3500125.724,7271064.679
1104699600.0,6.041666667,3.216666667,95007.33333,0.041666667,225.4166667,0.0,0.0,285.7544514,-47.47622096,19.23424801,3770938.955,0.0,3546275.691,7317214.646
1104703200.0,5.883333333,3.508333333,95011.33333,0.0,231.5833333,0.0,0.0,302.0726963,-57.17311492,19.21902922,3569067.301,0.0,3854489.202,7423556.503
1104706800.0,5.741666667,3.591666667,95015.33333,0.0,280.9166667,0.0,0.0,326.2178375,-64.80428029,19.13583923,154217.9712,0.0,4775742.725,4929960.696
1104710400.0,5.641666667,3.916666667,95018.75,0.0,309.0,0.0,0.0,9.162744288,-67.82276322,19.09779185,57316.11482,0.0,5000978.934,5058295.049
1104714000.0,5.6,4.058333333,95022.33333,0.0,302.5,0.0,0.0,33.53723375,-64.7543838,19.06857931,57316.11482,0.0,5068181.992,5125498.107
1104717600.0,5.658333333,3.75,95026.33333,0.058333333,303.25,0.0,0.0,57.7156108,-57.15260843,19.04455075,57316.11482,0.0,5094133.074,5151449.189
1104721200.0,5.7,3.616666667,95030.33333,0.1,304.3333333,0.0,0.0,74.0731935,-47.47010046,19.02352676,57316.11482,0.0,5117039.424,5174355.539
1104724800.0,5.7,3.816666667,95034.33333,0.1,307.75,0.0,0.0,86.38571633,-37.0173488,19.00384761,57316.11482,0.0,5147989.864,5205305.979
1104728400.0,5.758333333,4.075,95038.33333,0.1,307.25,0.0,0.0,96.84415475,-26.41140362,18.98659937,57316.11482,0.0,5157408.002,5214724.117
1104732000.0,5.8,4.9,95042.33333,0.158333333,307.1666667,0.0,0.0,106.6351397,-16.01997014,18.97119307,57316.11482,0.0,5167317.313,5224633.428
1104735600.0,5.858333333,4.583333333,95046.33333,0.316666667,303.3333333,0.0,0.0,116.4955785,-6.147030795,19.03995273,2549103.854,0.0,7425782.234,9974886.088
1104739200.0,6.016666667,3.883333333,95050.33333,0.575,303.5,13.55555556,31.5,126.9609046,2.884593972,19.0560758,2137464.706,0.0,7219684.161,9357148.867
1104742800.0,6.975,3.625,95054.33333,0.758333333,265.75,67.0,188.5833333,138.4422184,10.69027243,19.18610716,966752.6536,0.0,7128585.456,8095338.11
1104746400.0,8.416666667,2.741666667,95058.33333,1.616666667,237.5833333,103.25,287.8333333,151.1876051,16.81275408,19.31543041,57316.11482,0.0,3844518.52,3901834.635
